Timestamp	Min	Average	Max
1296352800	1112	1898	742
1296356400	1096	1924	673
1296360000	1048	1895	696
1296363600	976	1897	518
1296367200	872	1661	429
1296370800	747	1476	376
1296374400	657	1316	359
1296378000	610	1218	336
1296381600	613	1283	372
1296385200	606	1276	358
1296388800	638	1433	396
1296392400	718	1593	435
1296396000	853	1936	511
1296399600	960	1938	557
1296403200	1025	2044	608
1296406800	962	1670	603
1296410400	896	1496	556
1296414000	831	1342	485
1296417600	828	1287	511
1296421200	797	1255	498
1296424800	776	1195	535
1296428400	796	1301	463
1296432000	832	1356	511
1296435600	1000	1630	664
1296439200	1132	2006	770
1296442800	1150	2093	792
1296446400	1095	2186	682
1296450000	969	1863	554
1296453600	855	1626	475
1296457200	729	1451	406
1296460800	659	1447	325
1296464400	608	1405	324
1296468000	596	1277	359
1296471600	600	1365	358
1296475200	607	1373	347
1296478800	720	1701	457
1296482400	881	2042	549
1296486000	1002	2303	562
1296489600	980	1930	624
1296493200	922	1515	517
1296496800	899	1478	541
1296500400	885	1359	463
1296504000	856	1297	496
1296507600	801	1192	383
1296511200	789	1162	402
1296514800	771	1098	435
1296518400	806	1221	471
1296522000	964	1459	659
1296525600	1112	1714	759
1296529200	1114	1751	662
1296532800	1062	1633	624
1296536400	961	1493	485
1296540000	805	1375	406
1296543600	691	1209	353
1296547200	602	1199	284
1296550800	571	1165	300
1296554400	554	1119	292
1296558000	558	1178	293
1296561600	605	1310	336
1296565200	728	1586	456
1296568800	907	1807	630
1296572400	929	2009	608
1296576000	877	1851	534
1296579600	790	1433	482
1296583200	730	1281	407
1296586800	706	1166	402
1296590400	706	1185	408
1296594000	670	1039	395
1296597600	659	1075	424
1296601200	681	1179	366
1296604800	734	1187	505
1296608400	914	1471	580
1296612000	1068	1580	691
1296615600	1099	1645	641
1296619200	1061	1626	611
1296622800	913	1453	463
1296626400	777	1217	457
1296630000	632	1013	368
1296633600	567	1006	281
1296637200	544	989	289
1296640800	543	988	344
1296644400	568	1097	303
1296648000	603	1142	354
1296651600	755	1321	546
1296655200	929	1533	707
1296658800	916	1545	611
1296662400	846	1559	513
1296666000	736	1229	463
1296669600	684	1181	396
1296673200	643	1091	350
1296676800	640	1093	375
1296680400	627	1066	363
1296684000	620	1034	397
1296687600	650	1082	393
1296691200	705	1120	499
1296694800	890	1411	638
1296698400	1040	1545	672
1296702000	1051	1592	663
1296705600	1006	1498	633
1296709200	918	1430	660
1296712800	760	1295	427
1296716400	630	1080	358
1296720000	571	1098	307
1296723600	536	1015	280
1296727200	533	1028	313
1296730800	549	1016	332
1296734400	586	1119	379
1296738000	717	1421	478
1296741600	919	1493	666
1296745200	924	1553	627
1296748800	829	1383	532
1296752400	735	1216	472
1296756000	694	1034	472
1296759600	665	991	460
1296763200	664	1030	416
1296766800	654	1008	461
1296770400	632	968	410
1296774000	647	1046	426
1296777600	732	1269	480
1296781200	928	1535	691
1296784800	1065	1687	731
1296788400	1036	1533	672
1296792000	1023	1586	653
1296795600	920	1405	555
1296799200	780	1178	435
1296802800	647	1040	333
1296806400	586	1050	315
1296810000	553	996	279
1296813600	539	962	298
1296817200	555	1052	335
1296820800	591	1167	368
1296824400	714	1396	464
1296828000	907	1614	630
1296831600	938	1765	570
1296835200	813	1435	525
1296838800	766	1281	479
1296842400	712	1203	342
1296846000	664	1098	302
1296849600	670	1082	337
1296853200	646	1006	302
1296856800	649	1046	338
1296860400	664	1075	433
1296864000	718	1213	494
1296867600	893	1379	648
1296871200	1076	1688	790
1296874800	1040	1514	752
1296878400	988	1458	680
1296882000	902	1394	556
1296885600	774	1291	460
1296889200	667	1193	323
1296892800	590	1233	271
1296896400	537	1047	289
1296900000	535	1037	270
1296903600	537	1012	334
1296907200	586	1161	344
1296910800	696	1450	433
1296914400	853	1449	564
1296918000	907	1828	531
1296921600	850	1529	505
1296925200	827	1369	529
1296928800	774	1229	486
1296932400	742	1181	395
1296936000	755	1210	459
1296939600	718	1239	398
1296943200	710	1201	434
1296946800	710	1175	470
1296950400	751	1238	530
1296954000	923	1584	667
1296957600	1064	1782	733
1296961200	1036	1847	680
1296964800	1005	1760	587
1296968400	913	1541	572
1296972000	791	1339	471
1296975600	688	1235	365
1296979200	605	1128	328
1296982800	564	1141	332
1296986400	549	1069	373
1296990000	543	1087	352
1296993600	569	1165	369
1296997200	636	1250	412
1297000800	781	1617	451
1297004400	862	1721	501
1297008000	869	1580	541
1297011600	863	1472	577
1297015200	851	1522	475
1297018800	821	1523	382
1297022400	793	1318	426
1297026000	779	1274	419
1297029600	749	1369	412
1297033200	727	1257	407
1297036800	792	1345	554
1297040400	968	1634	655
1297044000	1060	1738	654
1297047600	1033	1739	644
1297051200	981	1630	609
1297054800	900	1475	558
1297058400	771	1322	445
1297062000	656	1105	398
